"Domain","CustomDomains","EndpointName","RouteName","Pattern","OriginGroup","AppServiceURLs"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTvEHR-412","/WinkRESTvEHR-412/*","EHR-412-rest","wink-ehr412-rest-hikari.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv5006020","/WinkHolderRESTv5.00.60.20/*","5006020-hold","wink-prod-app-winkhold-5006020-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv5006020","/WinkRESTv5.00.60.20/*","5006020-rest","wink-prod-app-winkrest-5006020-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-downloadwink-com, ecomm-touch-downloadwink-com, oms-downloadwink-com, azurefd-downloadwink-com","download-wink","wink-ecomm","/wink-ecomm/*","wink-ecommV5-new","wink-prod-app-winkecomm57-can-central-etd2bmb9ghb6bwfr.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-downloadwink-com, ecomm-touch-downloadwink-com, oms-downloadwink-com, azurefd-downloadwink-com","download-wink","wink-ecommV5","/wink-ecommV5/*","wink-ecommV5-new","wink-prod-app-winkecomm57-can-central-etd2bmb9ghb6bwfr.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-downloadwink-com, ecomm-touch-downloadwink-com, oms-downloadwink-com, azurefd-downloadwink-com","download-wink","wink-ecommV4","/wink-ecommV4/*","wink-ecommV5-new","wink-prod-app-winkecomm57-can-central-etd2bmb9ghb6bwfr.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-downloadwink-com, ecomm-touch-downloadwink-com, oms-downloadwink-com, azurefd-downloadwink-com","download-wink","wink-ecommV2","/wink-ecommV2/*","wink-ecommV5-new","wink-prod-app-winkecomm57-can-central-etd2bmb9ghb6bwfr.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","webstart-azure-downloadwink-com, webstart-downloadwink-com-95a7","download-wink","webstart","/webstart/*","webstart","wink-prod-app-webstart-can-central-dvh8ftdwa4h2eybw.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","twilio-downloadwink-com","download-wink","WinkWebTest","/Web/*","WINKwebTest","wnkweb-winkweb-test.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","EHR-412-3","/EHR-412-3/*","EHR-412-3","wink-ehr412-3.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com, twilio-downloadwink-com","download-wink","wink-online-booking","/onlinebooking/*","wink-online-booking","wink-online-booking.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","downloadwink-com, specsavers-downloadwink-com, download-wink-azurefd-net","download-wink","wink-iframe-test","/iframe/*","wink-iframe-test","wink-iframe-test.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001203","/WinkHolderRESTv6.00.12.03/*","6001203-hold","wink-prod-app-winkhold-6001203-new-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001203","/WinkRESTv6.00.12.03/*","6001203-rest","wink-prod-app-winkrest-6001203-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTvEHR-412-3","/WinkRESTvEHR-412-3/*","EHR-412-3-rest","wink-ehr412-3-rest.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkHolderRESTv6001203-ss","/WinkHolderRESTv6.00.12.03/*","6001203-winkhold-ss","wink-prod-app-winkhold-6001203-ss-can-central.azurewebsites.net"
