"Domain","CustomDomains","EndpointName","RouteName","Pattern","OriginGroup","AppServiceURLs"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6001209a","/WinkRESTv6.00.12.09a/*","6001209a-rest","wink-prod-new-winkrest-6001209a-can-central-gga2bybchyg7gsbn.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","wink-prod-ehr-ss","/wink-ehr-ss/*","wink-prod-winkehr-ss","wink-prod-app-winkehr-ss-ajhsfaa4ezazd8g5.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6001209a-hold-loblaw","/WinkHolderRESTv6.00.12.09a/*","6001209a-hold-loblaw","wink-prod-winkhold-6001209a-loblaw-czc5fuf3adfyeucf.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6001209a-rest-loblaw","/WinkRESTv6.00.12.09a/*","6001209a-rest-loblaw","wink-prod-app-winkrest-6001209a-loblaw-dzc4cad2f2cqchep.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6140","/WinkHolderRESTv6.14.0/*","6140-hold","wink-prod-winkhold-6140-c9c2bngzcgg8b0be.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6140","/WinkRESTv6.14.0/*","6140-restfull","wink-prod-app-winkrest-6140-eva2apdpbdareeaz.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6140-hold-loblaw","/WinkHolderRESTv6.14.0/*","6140-hold-loblaw","wink-prod-app-winkhold-6140-loblaw-afdjhzecbfaxd0dj.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6140-rest-loblaw","/WinkRESTv6.14.0/*","6140-rest-loblaw","wink-prod-app-winkrest-6140-loblaw-cwdjamfwbmcne7g5.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkRESTv6140-ss","/WinkRESTv6.14.0/*","WinkRESTv6140-ss","wink-prod-app-winkrest-6140-ss-can-central-h0gze0cxdtbqemgq.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkHolderRESTv6140-ss","/WinkHolderRESTv6.14.0/*","WinkHolderRESTv6140-ss","wink-prod-app-hold-6140-ss-can-central-aza4e8gnbbhea3f8.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6150","/WinkHolderRESTv6.15.0/*","6150-hold","wink-prod-app-winkhold-6150-ekajgwfrcpbkg7h7.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6150","/WinkRESTv6.15.0/*","6150-restfull","wink-prod-app-winkrest-6150-h6adesaacagxgcew.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","nikon-integrated-wink-uat-downloadwink-com-8752","download-wink","nikon-integrated-wink-uat","/","nikon-integrated-wink-uat-private-link","wink-prod-winkweb-new-a4azh6bgdyfjc7gy.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","nikon-integrated-wink-uat-downloadwink-com-8752","download-wink","nikon-integrated-wink-uat2","/Web, /Web/*","nikon-integrated-wink-uat","wink-prod-winkweb-new-a4azh6bgdyfjc7gy.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkRESTv6150-ss","/WinkRESTv6.15.0/*","WinkRESTv6150-ss","wink-prod-app-winkrest-6150-ss-can-central-etdgecd0emaeeuc9.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkHolderRESTv6150-ss","/WinkHolderRESTv6.15.0/*","WinkHolderRESTv6150-ss","wink-prod-app-hold-6150-ss-can-central-dygmewexcccyb2c7.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6150-hold-loblaw","/WinkHolderRESTv6.15.0/*","6150-hold-loblaw","wink-prod-app-winkhold-6150-loblaw-f8h4cxaedzg0cke8.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6150-rest-loblaw","/WinkRESTv6.15.0/*","6150-rest-loblaw","wink-prod-app-winkrest-6150-loblaw-drc9e0esgmhah9ed.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6160","/WinkHolderRESTv6.16.0/*","6160-hold","wink-prod-app-winkhold-6160-g2a2c4hscud8hpcd.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6160","/WinkRESTv6.16.0/*","6160-restfull","wink-prod-app-winkrest-6160-h4hxg6e2abhwhacd.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","wink-prod-winkehr-alpha","/wink-ehr-alpha/*","wink-prod-winkehr-alpha","wink-prod-app-winkehr-alpha-fhb2dkatb4e7a8hu.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","wink-prod-winkonlinebooking-back","/wink-ob/*","wink-prod-winkonlinebooking-back","wink-prod-app-winkonlinebooking-back-gzd0fwgeheguhaeg.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","visioffice-downloadwink-com-195f","download-wink","VisionWebWebService12","/VisionWebWebService12/*","VisionWebWebService12-app-service","wink-prod-app-visionwebwebservice-cueudzgpd9a4graw.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6151","/WinkHolderRESTv6.15.1/*","6151-hold","wink-prod-app-winkhold-6151-encwafbggbaygbda.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6151","/WinkRESTv6.15.1/*","6151-restfull","wink-prod-app-winkrest-6151-gagnhpdef5fsfedm.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","essilor-integrated-wink-uat-downloadwink-com-ab98","download-wink","essilor-integrated-winkweb-uat","/*","nikon-integrated-wink-uat","wink-prod-winkweb-new-a4azh6bgdyfjc7gy.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6170","/WinkHolderRESTv6.17.0/*","6170-hold","wink-prod-app-winkhold-6170-bqeqfgdfecg3dbc8.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6170","/WinkRESTv6.17.0/*","6170-restfull","wink-prod-app-winkrest-6170-gnbdb7d2h8f8g0d8.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6001207-rest-loblaw","/WinkRESTv6.17.0","6001207-rest-loblaw","wink-prod-app-winkrest-6170-loblaw-hygwcuacb5a9hbd9.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com, loblaw-azure-downloadwink-com","download-wink","6170-hold-ss","/WinkHolderRESTv6.17.0/*","6170-hold-ss","wink-prod-app-hold-6170-ss-can-central-fqbabtbwhrdzcjau.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com, loblaw-azure-downloadwink-com","download-wink","6170-rest-ss","/WinkRESTv6.17.0/*","6170-rest-ss","wink-prod-app-winkrest-6170-ss-can-central-anb9awf8atabh0b5.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-cybersource-downloadwink-com-b697","download-wink","wink-ecomm-cyber-source","/wink-ecommV5/*","wink-ecomm-cyber-source","wink-prod-app-winkecomm-cb-can-central-g9cyh0amekg5hxdu.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6180","/WinkHolderRESTv6.18.0/*","6180-hold","wink-prod-app-winkhold-6180-bedtd8fxbyfqf8am.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","6180-restfull","/WinkRESTv6.18.0/*","6180-restfull","wink-prod-app-winkrest-6180-frg0evevbvcqb9cm.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com, specsavers-downloadwink-com","download-wink","6180-hold-ss","/WinkHolderRESTv6.18.0/*","6180-ss-app-services","wink-prod-app-hold-6180-ss-can-central-ckbqa7ahcudse7hj.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com, loblaw-azure-downloadwink-com","download-wink","6180-rest-ss","/WinkRESTv6.18.0/*","6180-rest-ss","wink-prod-app-winkrest-6180-ss-can-central-caa9e6gmcpg5g7bb.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","nexus-downloadwink-com-9827","download-wink","nexus-routing","/*","nexus-origin-group","4.248.204.182"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-zendesk-downloadwink-com-6352","download-wink","ecomm-zendesk","/wink-ecommV5/*","ecomm-zendesk","wink-prod-app-winkecomm56-can-central.azurewebsites.net"
"staticfiles-gdf5h9efa7bzbdbn.z01.azurefd.net","server9-downloadwink-com-8a46, server9-azure-downloadwink-com-73c5","staticfiles","staticfilesroute","/*","wink-staticfiles-origin-group","winkstaticstrg.z9.web.core.windows.net"
"wink-prod-ehr-front-geanhsaad8heb3an.z01.azurefd.net","emr-downloadwink-com-cba5","wink-prod-ehr-front","wink-prod-ehr-front","/*","ehr-front","wink-prod-app-winkehr-front-hcb9dvazfzcadbaf.canadacentral-01.azurewebsites.net"
"wink-prod-onlinebooking-front-fbeefghzctahggfp.z01.azurefd.net","onlinebookingv2-downloadwink-com-84ac","wink-prod-onlinebooking-front","wink-prod-onlinebooking-front","/*","onlinebooking-front","wink-prod-app-winkonlinebooking-front-esadafgagqhmf3bb.canadacentral-01.azurewebsites.net"
"wink-prod-codepush-ffahfycfbmbcfaba.z01.azurefd.net","wink-codepush-downloadwink-com-55db","wink-prod-codepush","wink-prod-codepush","/*","wink-prod-aks-gateway","10.112.158.4; 10.112.157.27"
"wink-prod-pms-d9cwfybyf8g6bkhd.z01.azurefd.net","nikon-integrated-wink-uat-test-downloadwink-com-24b9","wink-prod-pms","wink-prod-web-nikon-uat","/*","nikon-test-origin","wink-prod-winkweb-new-a4azh6bgdyfjc7gy.canadacentral-01.azurewebsites.net"
